tmin	text	tmax
1583.685879	speech	1587.347456
1592.506615	speech	1595.518976
1603.101815	speech	1605.802552
1612.012814	speech	1615.622454
1621.643503	speech	1625.149268
1630.992209	speech	1633.952633
1640.552424	speech	1645.200808
1651.225530	speech	1654.341766
1663.182291	speech	1666.765962
1672.920527	speech	1675.673201
1681.568080	speech	1684.791949
1691.180232	speech	1693.673220
1699.759818	speech	1703.083802
1709.601928	speech	1713.159630
1720.909473	speech	1725.999324
1730.777552	speech	1734.231379
1740.513368	speech	1744.252851
1749.628357	speech	1754.017055
1759.720302	speech	1763.849314
1769.328694	speech	1773.327863
1777.058748	speech	1778.824614
1782.693940	speech	1784.849336
1801.887263	speech	1804.925592
1809.383598	speech	1811.798681
1816.654814	speech	1819.745081
1830.719959	speech	1834.900909
1840.104573	speech	1843.194840
1850.076526	speech	1854.257475
1862.357268	speech	1866.200625
1871.835817	speech	1874.666398
1880.778964	speech	1885.011850
1891.062541	speech	1893.711341
1897.675943	speech	1901.493331
1905.051034	speech	1907.362241
1913.854398	speech	1916.597222
1921.037857	speech	1922.621944
1938.020174	speech	1942.590653
1947.316943	speech	1951.030457
1955.936109	speech	1960.194964
1967.332664	speech	1971.880846
1980.291010	speech	1986.107982
1993.429970	speech	1998.675633
2004.778260	speech	2009.115021
2013.373876	speech	2015.429157
2021.453879	speech	2026.413887
2033.291901	speech	2038.018192
2049.193387	speech	2052.387528
2065.326172	speech	2070.649740
2076.622525	speech	2080.310070
2084.672799	speech	2086.984007
2093.526936	speech	2096.850920
2102.538050	speech	2105.732191
2111.185603	speech	2114.870729
2121.882259	speech	2126.400800
2134.519129	speech	2137.219867
2144.416937	speech	2148.182388
2154.492764	speech	2157.271407
2162.854662	speech	2165.915288
2170.719484	speech	2173.861688
2180.389753	speech	2183.635831
2188.336153	speech	2190.881079
2196.610294	speech	2200.193965
2208.981300	speech	2214.772304
2219.680375	speech	2222.848547
2227.427711	speech	2229.505201
2238.585717	speech	2242.259360
2249.942779	speech	2255.371528
2260.345512	speech	2265.973220
2270.943460	speech	2272.904631
2278.105998	speech	2281.346193
2284.621791	speech	2287.009303
2290.732686	speech	2293.290735
2298.065760	speech	2301.448069
2309.942733	speech	2315.314636
2323.791598	speech	2328.339241
2337.366959	speech	2340.862960
2345.939913	speech	2349.066418
2358.339217	speech	2363.512161
2379.416317	speech	2385.811440
2392.458625	speech	2396.295699
2421.804878	speech	2426.579903
2436.174204	speech	2441.517685
2458.302945	speech	2463.618003
2467.852995	speech	2472.002719
2478.347975	speech	2482.014513
2488.000995	speech	2491.411727
2498.098055	speech	2502.276202
2509.181062	speech	2512.790754
2521.400980	speech	2526.517078
2535.184152	speech	2538.083274
2543.956064	speech	2548.162633
2565.892825	speech	2570.980501
2576.977705	speech	2581.440080
2588.003867	speech	2592.380973
2598.063654	speech	2602.298647
2612.253593	speech	2617.256000
2641.249923	speech	2646.337599
2652.188944	speech	2657.305043
2662.080068	speech	2665.973987
2670.519757	speech	2674.498945
2678.478133	speech	2681.320409
2686.668996	speech	2690.733452
2697.668608	speech	2701.448836
2717.843158	speech	2721.979647
2730.550932	speech	2736.082714
2744.046678	speech	2749.375947
2754.989444	speech	2758.655981
2764.081054	speech	2767.008930
2772.177990	speech	2775.389763
2781.491947	speech	2785.385867
2790.727475	speech	2795.530923
2801.197584	speech	2806.452243
2812.882767	speech	2817.572524
2833.485530	speech	2838.829010
2847.043190	speech	2852.074020
2855.850504	speech	2857.982211
2861.952517	speech	2865.222912
2871.166305	speech	2876.083444
2880.742790	speech	2883.478481
2898.231292	speech	2904.053815
2909.884867	speech	2914.413845
2921.459872	speech	2924.752130
2928.794930	speech	2931.957319
2938.144070	speech	2943.299971
2947.925305	speech	2950.837090
2956.545581	speech	2961.645843
2970.826098	speech	2977.595537
2985.406108	speech	2990.455078
2997.014027	speech	3001.860648
3006.812538	speech	3010.002520
3019.371676	speech	3025.039381
3031.107902	speech	3035.509835
3039.388873	speech	3043.205413
3049.956305	speech	3055.705691
3061.070317	speech	3064.886240
3071.118653	speech	3075.031945
3082.657851	speech	3088.388691
3095.585728	speech	3098.840623
3104.675452	speech	3108.866940
3113.023750	speech	3116.399196
3130.061042	speech	3136.468825
3142.746784	speech	3146.817720
3152.117472	speech	3156.271867
3165.248328	speech	3170.367136
3176.244089	speech	3180.917783
3184.191301	speech	3187.084541
3193.835433	speech	3198.731684
3214.396619	speech	3220.108912
3225.895391	speech	3230.977107
3237.638129	speech	3242.256184
3247.711390	speech	3250.822550
3258.206295	speech	3263.510568
3269.808738	speech	3274.677170
3282.151630	speech	3288.309037
3294.248629	speech	3298.623255
3305.272142	speech	3310.567141
3323.014236	speech	3327.099082
3331.856235	speech	3333.877794
3341.892179	speech	3345.587475
